[2025/05/28 20:12:45] - Namespace(poison_target=0, trigger_alpha=1.0, batch_size=256, clb_dir='./data/clean-label/0.1/', poison_type='badnets')
[2025/05/28 20:16:36] - Namespace(poison_target=0, trigger_alpha=1.0, batch_size=256, clb_dir='./data/clean-label/0.1/', poison_type='badnets')
[2025/05/28 20:19:19] - Namespace(poison_target=0, trigger_alpha=1.0, batch_size=256, clb_dir='./data/clean-label/0.1/', poison_type='badnets')
[2025/05/28 20:19:22] - Epoch 	 lr 	 Time 	 TrainLoss 	 TrainACC 	 PoisonLoss 	 PoisonACC 	 CleanLoss 	 CleanACC
[2025/05/28 21:19:55] - 47 	 0.001 	 21.7 	 0.0293 	 0.9920 	 0.0004 	 1.0000 	 0.2549 	 0.9239
[2025/05/28 21:20:17] - 48 	 0.001 	 21.7 	 0.0287 	 0.9924 	 0.0003 	 1.0000 	 0.2543 	 0.9248
[2025/05/28 21:20:39] - 49 	 0.001 	 21.7 	 0.0281 	 0.9931 	 0.0004 	 1.0000 	 0.2557 	 0.9241
[2025/05/28 21:28:32] - Namespace(batch_size=256, clb_dir='./data/clean-label/0.1/', poison_target=0, poison_type='clean-label', trigger_alpha=1.0)
[2025/05/28 21:41:02] - Namespace(batch_size=256, clb_dir='./data/clean-label/0.1/', poison_target=0, poison_type='clean-label', trigger_alpha=1.0)
[2025/05/28 21:44:18] - Namespace(batch_size=256, clb_dir='./data/clean-label/0.1/', poison_target=0, poison_type='clean-label', trigger_alpha=1.0)
[2025/05/28 21:44:21] - Epoch 	 lr 	 Time 	 TrainLoss 	 TrainACC 	 PoisonLoss 	 PoisonACC 	 CleanLoss 	 CleanACC
[2025/05/28 21:44:45] - 1 	 0.100 	 24.2 	 2.0179 	 0.2928 	 3.1884 	 0.0163 	 1.8802 	 0.3403
[2025/05/28 21:45:07] - 2 	 0.100 	 22.7 	 1.5574 	 0.4198 	 4.7042 	 0.0250 	 1.4376 	 0.4762
[2025/05/28 21:45:30] - 3 	 0.100 	 22.7 	 1.3264 	 0.5150 	 4.5694 	 0.0473 	 1.2202 	 0.5618
[2025/05/28 21:45:53] - 4 	 0.100 	 22.8 	 1.1098 	 0.6013 	 5.6744 	 0.0418 	 1.0549 	 0.6201
